generated_at,provider,symbol,sanity_score,critical,warning,info,rules
2026-08-11T13:49:08.294Z,yahoo,AAPL,95,0,0,1,RETURN_SPIKE
2026-08-11T13:49:08.294Z,yahoo,MSFT,85,0,1,0,RETURN_SPIKE
2026-08-11T13:49:08.294Z,yahoo,NVDA,100,0,0,0,
2026-08-11T13:49:08.294Z,yahoo,AMZN,85,0,1,0,RETURN_SPIKE
2026-08-11T13:49:08.294Z,yahoo,META,85,0,1,0,RETURN_SPIKE
2026-08-11T13:49:08.294Z,yahoo,GOOGL,85,0,1,0,RETURN_SPIKE
2026-08-11T13:49:08.294Z,yahoo,TSLA,85,0,1,0,RETURN_SPIKE
2026-08-11T13:49:08.294Z,yahoo,AVGO,85,0,1,0,RETURN_SPIKE
2026-08-11T13:49:08.294Z,yahoo,JPM,95,0,0,1,RETURN_SPIKE
2026-08-11T13:49:08.294Z,yahoo,V,85,0,1,0,RETURN_SPIKE
2026-08-11T13:49:08.294Z,yahoo,KO,95,0,0,1,RETURN_SPIKE
2026-08-11T13:49:08.294Z,yahoo,PG,100,0,0,0,
2026-08-11T13:49:08.294Z,yahoo,JNJ,100,0,0,0,
2026-08-11T13:49:08.294Z,yahoo,XOM,95,0,0,1,RETURN_SPIKE
2026-08-11T13:49:08.294Z,yahoo,WMT,95,0,0,1,RETURN_SPIKE
2026-08-11T13:49:08.294Z,yahoo,BRK-B,85,0,1,0,RETURN_SPIKE
2026-08-11T13:49:08.294Z,yahoo,GE,95,0,0,1,RETURN_SPIKE
2026-08-11T13:49:08.294Z,yahoo,CAT,45,1,1,0,PRICE_SPIKE_INTRADAY;RETURN_SPIKE
2026-08-11T13:49:08.294Z,yahoo,BA,95,0,0,1,RETURN_SPIKE
2026-08-11T13:49:08.294Z,yahoo,HON,80,0,1,1,RETURN_SPIKE;SPLIT_RATIO_IMPROBABLE
2026-08-11T13:49:08.294Z,yahoo,SPY,100,0,0,0,
2026-08-11T13:49:08.294Z,yahoo,QQQ,85,0,1,0,RETURN_SPIKE
2026-08-11T13:49:08.294Z,yahoo,IWM,100,0,0,0,
2026-08-11T13:49:08.294Z,yahoo,DIA,100,0,0,0,
2026-08-11T13:49:08.294Z,yahoo,VTI,100,0,0,0,
2026-08-11T13:49:08.294Z,yahoo,GLD,85,0,1,0,RETURN_SPIKE
2026-08-11T13:49:08.294Z,yahoo,TLT,100,0,0,0,
2026-08-11T13:49:08.294Z,yahoo,EEM,95,0,0,1,RETURN_SPIKE
2026-08-11T13:49:08.294Z,yahoo,ARKK,100,0,0,0,
2026-08-11T13:49:08.294Z,yahoo,NFLX,85,0,1,0,RETURN_SPIKE
